ticker,title,event_ticker,market_type,status,result,created_time,open_time,close_time,updated_time,settlement_ts,last_price_dollars,previous_price_dollars,yes_bid_dollars,yes_ask_dollars,volume_fp,volume_24h_fp,liquidity_dollars,open_interest_fp,outcome,is_resolved
KXFRASUPERCUPGAME-26JAN08PSGOM-PSG,PSG vs Marseille Winner?,KXFRASUPERCUPGAME-26JAN08PSGOM,binary,finalized,no,2026-01-08 15:15:09.262179+00:00,2026-01-08 15:19:00+00:00,2026-01-08 20:03:39.648351+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 20:12:03.270439+00:00,0.01,0.01,0.0,1.0,971717.0,0.0,0.0,0.0,0.0,True
KXFRASUPERCUPGAME-26JAN08PSGOM-OM,PSG vs Marseille Winner?,KXFRASUPERCUPGAME-26JAN08PSGOM,binary,finalized,no,2026-01-08 15:15:09.262179+00:00,2026-01-08 15:19:00+00:00,2026-01-08 20:03:39.648351+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 20:12:03.270439+00:00,0.01,0.01,0.0,1.0,422480.0,0.0,0.0,0.0,0.0,True
KXFRASUPERCUPGAME-26JAN08PSGOM-TIE,PSG vs Marseille Winner?,KXFRASUPERCUPGAME-26JAN08PSGOM,binary,finalized,yes,2026-01-08 15:15:09.262179+00:00,2026-01-08 15:19:00+00:00,2026-01-08 20:03:39.648351+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 20:12:03.270439+00:00,0.99,0.99,0.0,1.0,199558.0,0.0,0.0,0.0,1.0,True
KXSECPRESSMENTION-26JAN09-SOMA,Will the White House Press Secretary say Somali / Somalia / Somalian at her next press briefing?,KXSECPRESSMENTION-26JAN09,binary,finalized,no,2026-01-08 15:36:18.038434+00:00,2026-01-08 15:45:00+00:00,2026-01-08 20:38:29.367720+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 21:08:33.230817+00:00,0.01,0.01,0.0,1.0,35960.0,0.0,0.0,0.0,0.0,True
KXSECPRESSMENTION-26JAN09-SELF,Will the White House Press Secretary say Self Defense at her next press briefing?,KXSECPRESSMENTION-26JAN09,binary,finalized,no,2026-01-08 15:36:18.038434+00:00,2026-01-08 15:45:00+00:00,2026-01-08 20:39:45.048737+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 21:09:53.235329+00:00,0.01,0.01,0.0,1.0,30485.0,0.0,0.0,0.0,0.0,True
KXSECPRESSMENTION-26JAN09-GREE,Will the White House Press Secretary say Greenland at her next press briefing?,KXSECPRESSMENTION-26JAN09,binary,finalized,no,2026-01-08 15:36:18.038434+00:00,2026-01-08 15:45:00+00:00,2026-01-08 20:38:53.526609+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 21:09:03.229970+00:00,0.01,0.01,0.0,1.0,27592.0,0.0,0.0,0.0,0.0,True
KXFRASUPERCUPADVANCE-26JAN08PSGOM-PSG,PSG vs Marseille,KXFRASUPERCUPADVANCE-26JAN08PSGOM,binary,finalized,yes,2026-01-08 15:27:20.125239+00:00,2026-01-08 15:30:00+00:00,2026-01-08 20:15:17.154264+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 20:24:43.232937+00:00,0.99,0.99,0.0,1.0,27028.0,0.0,0.0,0.0,1.0,True
KXHOCHULMENTION-26JAN09-BUFF,What will Kathy Hochul say during press conference on January 8th?,KXHOCHULMENTION-26JAN09,binary,finalized,yes,2026-01-08 14:30:55.625161+00:00,2026-01-08 14:35:00+00:00,2026-01-08 17:56:18.077079+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 18:26:23.225263+00:00,0.99,0.99,0.0,1.0,24268.0,0.0,0.0,0.0,1.0,True
KXHOCHULMENTION-26JAN09-TRUM,What will Kathy Hochul say during press conference on January 8th?,KXHOCHULMENTION-26JAN09,binary,finalized,yes,2026-01-08 14:30:55.625161+00:00,2026-01-08 14:35:00+00:00,2026-01-08 17:53:32.916923+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 18:23:43.232158+00:00,0.99,0.99,0.0,1.0,22105.0,0.0,0.0,0.0,1.0,True
KXHOCHULMENTION-26JAN09-ICE,What will Kathy Hochul say during press conference on January 8th?,KXHOCHULMENTION-26JAN09,binary,finalized,no,2026-01-08 14:30:55.625161+00:00,2026-01-08 14:35:00+00:00,2026-01-08 17:53:50.155914+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 18:23:53.231412+00:00,0.01,0.01,0.0,1.0,21680.0,0.0,0.0,0.0,0.0,True
KXSECPRESSMENTION-26JAN09-LEAR,Will the White House Press Secretary say Learing at her next press briefing?,KXSECPRESSMENTION-26JAN09,binary,finalized,no,2026-01-08 15:36:18.038434+00:00,2026-01-08 15:45:00+00:00,2026-01-08 20:38:37.797176+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 21:08:43.188283+00:00,0.01,0.01,0.0,1.0,18923.0,0.0,0.0,0.0,0.0,True
KXHOCHULMENTION-26JAN09-MAMD,What will Kathy Hochul say during press conference on January 8th?,KXHOCHULMENTION-26JAN09,binary,finalized,yes,2026-01-08 15:00:19.664589+00:00,2026-01-08 15:02:00+00:00,2026-01-08 17:52:45.763694+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 18:22:53.228475+00:00,0.99,0.99,0.0,1.0,18227.0,0.0,0.0,0.0,1.0,True
