ticker,title,event_ticker,market_type,status,result,created_time,open_time,close_time,updated_time,settlement_ts,last_price_dollars,previous_price_dollars,yes_bid_dollars,yes_ask_dollars,volume_fp,volume_24h_fp,liquidity_dollars,open_interest_fp,outcome,is_resolved
KXEPLGOAL-26JAN08ARSLFC-LFCJGOMEZ2-1,Joe Gomez records 1+ goals,KXEPLGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 21:54:22.230056+00:00,2026-01-08 21:59:00+00:00,2026-01-08 22:20:20.966222+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:27.331794+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True
KXEPLGOAL-26JAN08ARSLFC-ARSNMADUE20-1,Noni Madueke records 1+ goals,KXEPLGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 21:36:31.874148+00:00,2026-01-08 21:41:00+00:00,2026-01-08 22:20:20.872236+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:27.331420+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,True
KXEPLGOAL-26JAN08ARSLFC-ARSEEZE10-1,Eberechi Eze records 1+ goals,KXEPLGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 21:36:30.921210+00:00,2026-01-08 21:41:00+00:00,2026-01-08 22:20:20.778346+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:27.331375+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,True
KXEPLGOAL-26JAN08ARSLFC-ARSGMARTI11-1,Gabriel Martinelli records 1+ goals,KXEPLGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 21:22:31.857070+00:00,2026-01-08 21:27:00+00:00,2026-01-08 22:20:20.685163+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:27.331326+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,True
KXEPLGOAL-26JAN08ARSLFC-ARSGJESUS9-1,Gabriel Jesus records 1+ goals,KXEPLGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 21:22:30.949328+00:00,2026-01-08 21:27:00+00:00,2026-01-08 22:20:20.588223+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:27.328734+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,True
KXEPLGOAL-26JAN08ARSLFC-ARSMLEWIS49-1,Myles Lewis-Skelly records 1+ goals,KXEPLGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 21:16:37.432133+00:00,2026-01-08 21:21:00+00:00,2026-01-08 22:20:20.489493+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:27.328639+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,True
KXEPLFIRSTGOAL-26JAN08ARSLFC-NOGOAL,Liverpool at Arsenal: First Goalscorer: No Goal,KXEPLFIRSTGOAL-26JAN08ARSLFC,binary,finalized,yes,2026-01-08 19:00:45.847300+00:00,2026-01-08 19:05:00+00:00,2026-01-08 22:20:17.560236+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:17.331774+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,True
KXEPLFIRSTGOAL-26JAN08ARSLFC-LFCVVAND4,Liverpool at Arsenal: First Goalscorer: Virgil Van Dijk,KXEPLFIRSTGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 19:00:45.847300+00:00,2026-01-08 19:05:00+00:00,2026-01-08 22:20:19.106894+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:27.327043+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,True
KXEPLFIRSTGOAL-26JAN08ARSLFC-LFCRGRAVE38,Liverpool at Arsenal: First Goalscorer: Ryan Gravenberch,KXEPLFIRSTGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 19:00:45.847300+00:00,2026-01-08 19:05:00+00:00,2026-01-08 22:20:18.789979+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:27.326115+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,True
KXEPLFIRSTGOAL-26JAN08ARSLFC-LFCMKERKE6,Liverpool at Arsenal: First Goalscorer: Milos Kerkez,KXEPLFIRSTGOAL-26JAN08ARSLFC,binary,finalized,no,2026-01-08 19:00:45.847300+00:00,2026-01-08 19:05:00+00:00,2026-01-08 22:20:19.289524+00:00,2026-02-19 08:48:16.628714+00:00,2026-01-08 22:51:27.327222+00:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,True
